unique.pubchem,unique.drugid,CCLE.drugid,CGP.drugid,GRAY.drugid,GSK.drugid,NCI.drugid
65399,Triciribine,,,Triciribine,,
3121,Valproic.acid,,,Valproic.acid,,Valproic Acid
3081361,Vandetanib,Vandetanib,,,,Vandetanib
241903,Vinblastine,,Vinblastine,,,
44424639,Vinorelbine,,Vinorelbine,Vinorelbine,,
5311,Vorinostat,,Vorinostat,Vorinostat,,Vorinostat
5494449,VX-680,,VX-680,VX-680,,
10341154,VX-702,,VX-702,,,
11844351,WH-4-023,,WH-4-023,,,
14413,WZ-1-84,,WZ-1-84,,,
10339779,XRP44X,,,XRP44X,,
16760646,Z-LLNle-CHO,,Z-LLNle-CHO,,,
9914412,ZM-447439,,ZM-447439,ZM447439,,
,,,,,GSK661637.,
100017,,,,,,nimbolide
10005246,,,,,,lissoclinidine
100053,,,,,,9-(2-amino-2-deoxy-d-xylofuranosyl) adenine
100092,,,,,,"thymidine, 5'-[(bromoacetyl)amino]-5'-deoxy-"
100146,,,,,,Dihydrolenperone
100158,,,,,,cyano-pa
100174,,,,,,"1,2-didemethylcolchicine"
10018975,,,,,,2-n-methyl-6-oxaellipticinium acetate
100214,,,,,,"st-daae-1,4-(ii)"
10022395,,,,,,"3-(3,4,5-trimethoxy)-4-(2-phtyl)-2(5h)-furanone"
100323,,,,,,"ethyl 1-hydroxy-4-oxo-2,5-cyclohexadien-1-acetate"
100329,,,,,,asterriquinone
100335,,,,,,coumarin 30
100397,,,,,,"cinnoline, 4-nitro-, 1-oxide"
100400,,,,,,"p-n,n-di(2-chloroethyl)toluidine"
100603,,,,,,42179
100606,,,,,,Hepsulfam
100615,,,,,,ethericin a
100640,,,,,,"acridine, 9-phenoxy-"
100651,,,,,,Clomesone
100764,,,,,,"methanediamine, 1-(2-chlorophenyl)-n,n'-dipyrazinyl-"
100773,,,,,,SarCNU
100790,,,,,,coumarin 340
10090750,,,,,,z-endoxifen
10105331,,,,,,"5-aziridinyl-3-hydroxymethyl-1-methylindole-4,7-dione"
101108,,,,,,illudin m
101109,,,,,,illudin s
101198,,,,,,10200
101211,,,,,,chimaphilin
10141,,,,,,phthazarin
10144,,,,,,liriodenine
10170,,,,,,pycmine
101859,,,,,,"6.alpha.,9-difluoroprednisolone"
101929,,,,,,phthol blue (van)
10205,,,,,,plumbagin
10206,,,,,,cepharanthine
102162,,,,,,capri blue
10236235,,,,,,"3-amino-1-hydroxy-propane-1,1-bisphosphote (sodium salt)"
10239474,,,,,,"1,4-bis(5-acetyl-4,7-dimethoxybenzofuran-6-yloxy)butane"
10248002,,,,,,wr 09792
10258400,,,,,,superstolide a
10263039,,,,,,"6-[4-(1-cyclohexenyl)-1,3-butadiyn-1-yl]-2(2h)-pyranone"
10265530,,,,,,amaminol a
10338132,,,,,,"6,7-dichloro-2-methyl-3-(phenylthio)quinoxaline 1,4-dioxide"
10351178,,,,,,aplyronine a
10354084,,,,,,waol a fd-211
10355169,,,,,,"(2e,8s,9z)-2,9,16-heptadecatrien-4,6-diyn-1,8-diol"
10380285,,,,,,d.b.t.c.
10383530,,,,,,"9-chloro-2-methylellipticinium acetate, hydrate"
10398,,,,,,agrosol
10400578,,,,,,vermeerin
10422840,,,,,,3-bromo-4-phenylethynyl-2(5h)-furanone
10466937,,,,,,3-bromo-4-(1-hexynyl)-2(5h)-furanone
10469514,,,,,,pareitropone
10472068,,,,,,"2,9-dimethylellipticinium acetate"
104741,,,,,,Fulvestrant
104758,,,,,,Raltitrexed
104842,,,,,,7-Ethyl-10-hydroxycamptothecin
105014,,,,,,"beauvericin (8ci, 9ci)"
105031,,,,,,artesute
10578,,,,,,dejo
10583918,,,,,,Mechlorethamine
10607,,,,,,podophyllotoxin
10615857,,,,,,d 54
10637058,,,,,,d 69
10714966,,,,,,"phosphonium, triphenylpropenyl-, bromide, (e)- (8ci)"
10729,,,,,,isoxanthopterin
10735291,,,,,,"2-(2,4-dinitrophenyl)isoquinolinium chloride"
107404,,,,,,setoglaucin
10757635,,,,,,"2,3-dihydro-2,3-dihydroxy-brefeldin a"
107863,,,,,,destruxin e
107985,,,,,,triptolid
10874069,,,,,,"2,3-dihydro-1,2-syn-3-[benzylseleno]brefeldin a"
10906804,,,,,,"2,3-dihydro-1,2-syn-3-[4'-chlorophenylseleno]brefeldin a"
10917077,,,,,,"2,3-dihydro-(3r)-(4'-methoxybenzylthio)brefeldin a"
10918644,,,,,,bis-triazoles
10970813,,,,,,"2,3-dihydro-1,2-syn-3-[methylseleno]brefeldin a"
10971,,,,,,aquamycin
10982991,,,,,,"2,3-dihydro-1,2-syn-3-[phenylseleno]brefeldin a"
10989408,,,,,,"phenol, 4-[(6-chloro-2-quinoxalinyl)oxy]-"
11004,,,,,,agrocybin
11057,,,,,,Gentian Violet
110653,,,,,,wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2
11068,,,,,,"quinine, hydrobromide, hydrate"
11069089,,,,,,combretastatin a4-alogue
110719,,,,,,pimm
11077,,,,,,resazoin
11095045,,,,,,2-(nitromethyl)-2-cyclohepten-1-one
11102,,,,,,Thonzonium Bromide
11106127,,,,,,"3-phenyl-6,7-dihydro-5h-imidazo[2,1-c][1,2,4]oxadiazole"
11122,,,,,,tolylquinone
111296,,,,,,dbtc
11162021,,,,,,1-phenyl-5-(4-(trifluoromethyl)phenyl)-1h-imidazole
11163721,,,,,,wln: g-sn-gr&r
11222845,,,,,,(-)-dactylolide
11231822,,,,,,4-epi-7-oxo-phomopsolide e
11233092,,,,,,"2-(4-methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)-1h-imidazole"
11254,,,,,,Diepoxybutane
11265974,,,,,,"1,5-bis(4-methoxyphenyl)-1h-imidazole"
11290749,,,,,,"5-(4-methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)-1h-imidazole"
11292,,,,,,p-fuchsin
11295185,,,,,,neocaesalpin g
11329590,,,,,,phloeodictine a 1
1134,,,,,,Thymidine
11345717,,,,,,morpholine-n-dithiocarbamate
11365101,,,,,,18-benzoyloxy-19-benzoylfuranotriptolide
11383327,,,,,,oxadiazole
11402158,,,,,,"6-(hydroxymethyl)-1,4-anthracenedione."
11413833,,,,,,"3-bromo-4-(3,3-dimethyl-but-1-ynyl)-2(5h)-furanone"
11415391,,,,,,"s,s,s-enigmol"
11435928,,,,,,3-chloro-4-phenylethynyl-5h-furan-2-one
11441,,,,,,"2,4-dinitrobromobenzene"
11461044,,,,,,1-decyl-3-methylimidazolium tetrafluoroborate
1148,,,,,,l-trp
11484899,,,,,,"4-phenylethynyl-3-(3,4,5-trimethoxy-phenyl)-5h-furan-2-one"
11494577,,,,,,cyanoaminopyranopyridine derivatives
11525740,,,,,,Pazopanib
11528605,,,,,,yieldene malononitrile
11530049,,,,,,pyridone-4-ch3
11533060,,,,,,MNR-2-50
11551263,,,,,,"n-nonyl-3,4-dihydroxycinmide"
11559546,,,,,,"2-(phthalen-2-yl)-1-(3,4,5-trimethoxyphenyl)-1h-imidazole"
11594562,,,,,,"1,4-di-n-oxide-2-cyano-3-(4-clhloro)phenylquinoxaline"
11599836,,,,,,gambogic acid
11616421,,,,,,"2-cyano-6,7-difluoro-3-(4-chloro)phenylquinoxaline"
11639084,,,,,,"1-(phthalen-2-yl)-2-(3,4,5-trimethoxyphenyl)-1h-imidazole"
11679357,,,,,,Lapatinib
11683,,,,,,Megestrol acetate
11688687,,,,,,"1-(4-methoxyphenyl)-2-(3,4,5-trimethoxyphenyl)-1h-imidazole"
11690083,,,,,,pyrazoline derivative
11705543,,,,,,"benzoic acid, p-[(purin-6-ylthio)mercuri]-"
11709772,,,,,,"2-cyano-6,7-dichloro-3-(4-chloro)phenylquinoxaline"
1174,,,,,,Uracil
11765,,,,,,Homidium Chloride
1177,,,,,,Uridine
11775948,,,,,,"6-(1,3-decadiyn-1-yl)-2(2h)-pyranone"
11814,,,,,,"2,6-dinitrochlorobenzene"
11821732,,,,,,"1h-indole-3-methanol, 1-[(4-chlorophenyl)methyl]-"
118294,,,,,,sn-3-dihexadecyl-phosphatidylcholine
11870,,,,,,camolar
1187613,,,,,,3-(4-quizolinylamino)phenyl 2-chlorobenzoate
11947677,,,,,,nsc 265459
11947740,,,,,,"bis(2-benzoyl-1,3-indanedioto)nickel(ii)dihydrate"
11947741,,,,,,"bis(2-benzoyl-1,3-indanedioto)manganese(ii)dihydrate"
119565,,,,,,Buthionine sulphoximine
11969638,,,,,,Camptothecin Derivative
11969639,,,,,,Camptothecin Derivative
11969671,,,,,,Camptothecin Derivative
11969672,,,,,,Camptothecin Derivative
11969742,,,,,,Camptothecin Derivative
11969872,,,,,,ukrain
11969877,,,,,,"(6r,10s,11r)-26.xi.-hydroxy-13.xi.-oxaspiroirid-16-el"
11969927,,,,,,"(s)9-amino-20-o-(n,n-dimethyl)glycinyl camptothecin.hcl"
11969976,,,,,,bengamide b
11970002,,,,,,homovinblastine methanesulfote salt
11970004,,,,,,.alpha.-cyclopentoblastine methanesulfote salt
11970023,,,,,,aclarlubicin hcl
11970024,,,,,,pirarubicin hcl
11970034,,,,,,.beta.-cyclohexanoblastine
11970117,,,,,,"triacetyl 13,14,15-isocrambescidin 800 hydrochloride"
11972519,,,,,,Topotecan
11979319,,,,,,"tris(1,3-diphenylpropane-1,3-diota)gallium(iii)"
11979327,,,,,,"chlorotris(1,3-diphenylpropane-1,3-dioto)zirconium(iv)"
11979458,,,,,,"mikamycin, b grade"
11979533,,,,,,bouvardia terfolia
11979537,,,,,,piperidinium europium benzoyl trifluoroacetote
11980862,,,,,,sudan red
11980909,,,,,,tris(5-nitrotropoloto)bismuth(iii)
12000066,,,,,,gersemolide
12013259,,,,,,"2,5-di(2-thienyl)furan-3,4-dimethanol"
120712,,,,,,colchicide.hcl
12075522,,,,,,(o-chlorophenyl)hydrazizne hydrochloride
121458,,,,,,"propanenitrile, 2-chloro-3-(phenylsulfonyl)-"
122105,,,,,,diazaquinomycin a
122234,,,,,,2m2pm
12269596,,,,,,"8-quinolinol, 5-(chloromethyl)-, hydrochloride"
122716,,,,,,Actinomycin C3
122720,,,,,,diosquinone
122724,,,,,,celastrol
122727,,,,,,nogalarol
122737,,,,,,7-Cyanoquinocarcinol
122749,,,,,,benzamide riboside
122799,,,,,,actinomycin vii
122804,,,,,,Peplomycin
122805,,,,,,justicidin b
122810,,,,,,destruxin a
12283554,,,,,,"12-chloro-7,12-dihydro-9-phenylbenzo[a]phersazinine"
122838,,,,,,xestoquinone
122842,,,,,,benzyl trisulfide
12300036,,,,,,benzoanthracenone
12304060,,,,,,yohimbine
12314793,,,,,,pyrethrosin
123220,,,,,,"1,4-phthalenedione, 5-methoxy-"
12334349,,,,,,7-acetyl-6-hydroxy-3-methylbenzofuran carboxylic acid
123617,,,,,,Camptothecin Derivative
12402873,,,,,,indolcarbonsaureester
12420,,,,,,ouabain
124326,,,,,,"1h-1,4,7-triazonine-1,4,7-triacetic acid, octahydro-"
12449,,,,,,Brilliant Green
12456,,,,,,berberine chloride
124631,,,,,,"benfluron, n-oxide-"
124693,,,,,,aziridinyl benzoquinone
125001,,,,,,tetrol fr. taxus brevifolia
125219,,,,,,octadecylphosphocholine
12540,,,,,,tptc
125729,,,,,,"sergeolide,desacetyl"
125982,,,,,,"1,4-bis[(2-aminoethyl)amino]-5,8-dihydroxyanthraquinone"
12605846,,,,,,4m2m
12649,,,,,,"thujaplicin, alpha"
12665,,,,,,valerolactim
127007,,,,,,pyrizinostatin
12753798,,,,,,diethyl 1-phenyl-1-(diphenylmethylamino)-methanephosphote
12795165,,,,,,".alpha.-phenyl-2,5-dimethoxy-.alpha.-cinmonitrile"
128014,,,,,,isoannocin
12885,,,,,,wln: l b656 hhj de ez fe le
12908673,,,,,,"5h-imidazo[2,1-a]isoindole, 5-(2,4-dichlorophenyl)-"
12947,,,,,,Hydroxychloroquine Sulfate
131182,,,,,,Camptothecin Derivative
132024,,,,,,cytoblastin
132430,,,,,,synthetic halomon
13268,,,,,,Fluorodopan
13288729,,,,,,"1h-indole-3-methanol, 1-[(3-chlorophenyl)methyl]-"
132971,,,,,,Abiraterone
13468,,,,,,pamelor
13506406,,,,,,ortho-topolin riboside
13769,,,,,,Testolactone
1377751,,,,,,"2,4-thiazolidinedione, 5-(3-phenyl-2-propenylidene)-"
13796,,,,,,ethaverine hydrochloride
13820,,,,,,chlorotriethyltin
1385,,,,,,Uniroyal Compound-38
1392,,,,,,Edelfosine
13956,,,,,,tri-p-tolylphosphine
140895,,,,,,"propanoic acid, 3-bromo-2-(bromomethyl)-, methyl ester"
141295,,,,,,"o-tolualdehyde, 4-(bis(2-chloroethyl)amino)-"
14132,,,,,,sn 967
14454445,,,,,,new fuchsin
146332,,,,,,"1h-indole-3-carbonitrile, 2-amino-5-(phenylthio)-"
146614,,,,,,podophyllotoxin deriv. (jurd)
14676,,,,,,tacaryl
14693848,,,,,,"tetrakis(pentane-2,4-dioto)zirconium(iv)"
14710,,,,,,dromilac
147623,,,,,,Pentamethylmelamine
147711,,,,,,"2-methoxycarbonyl-3,4-dichloro-5-nitrofuran"
148121,,,,,,PNU-74654
148177,,,,,perifosine.,Perifosine
148183,,,,,,XK-469
148189,,,,,,Hydroxymethylacylfulvene
148202,,,,,,Karenitecin
14839,,,,,,dibask
148569,,,,,,9 ohe hcl
148673,,,,,,M-AMSA
148674,,,,,,M-AMSA
148799,,,,,,o-amsa monomethanesulfote
148802,,,,,,"4'-(9-acridinylamino)sulfanilanilide, monohydrochloride"
14904973,,,,,,"3,4-bis-(4-methoxyphenyl)-2(5h)-furanone"
149070,,,,,,streptomyces antibiotic
149075,,,,,,antineoplastic-d630679
149080,,,,,,antineoplastic-630680
15078,,,,,,Guazole
151719,,,,,,u 27744
152122,,,,,,"acetic acid, rhodium salt (4:2)"
152481,,,,,,"4,7-quinolinediamine, n4,n4'-1,7-heptanediylbis[2-methyl-"
15373173,,,,,,5-chloro-2[(e)-2-(4-nitrophenyl)vinyl]-1h-benzimidazole
153762,,,,,,tallysomycin s10b
1546,,,,,,Cladribine
1549521,,,,,,3-(2-furyl)acrolein
1550330,,,,,,"2,6-dibenzylidenecyclohexanone"
1550999,,,,,,vanitile
1552,,,,,,"6-bromo-3-bromomethyl-3,7-dichloro-7-methyl-1-octene"
155232,,,,,,epicorazine a
15558347,,,,,,Trypaflavine Hydrochloride
15581,,,,,,wln: 1n1&r dyunqr dn1&1
15609488,,,,,,"7-.beta.-d-ribofuranosyl-4-oxo-3h-thieno-[3,4-d]pyrimidine"
156398,,,,,,"6,7-dihydroxy-4-methoxyisoflavan"
15690,,,,,,perchloropyrimidine
157348,,,,,,CI-921: amsacrine derivative
15743430,,,,,,(dimethylamino)propiophenone hydrochloride
157561,,,,,,augustine
15789,,,,,,akron
15815,,,,,,bext (van)
158475,,,,,,holacanthone
15954457,,,,,,6-aryl alkyl fluoro quinolone derivative
15957526,,,,,,"1,6-dimethoxyphezine mono-n-oxide"
15957527,,,,,,"1,6-dimethoxyphenzine di-n-oxide"
159628,,,,,,n-butyltriphenylphosphonium bromide
15978260,,,,,,"stanne, dibutyldithiocyato-"
159854,,,,,,"2,5-dimethyl-3,6-diaziridinyl-1,4-benzoquinone"
159969,,,,,,acrovestone
160142,,,,,,miltirone
160157,,,,,,Oxidopamine
160202,,,,,,dihydrotriazine derivative
160254,,,,,,(-)-cryptotanshinone
160296,,,,,,desmethylbouvardin
160394,,,,,,"n-(3-aziridinylpropyl)-1,4-diaminobutane"
160395,,,,,,"n-(4-aziridinylbutyl)-1,3-diaminopropane"
16043,,,,,,Tert-Butylhydroquinone
160533,,,,,,xanthinin
16061747,,,,,,(hydroxymethoxy)n-methylpyrrolopyrrolizinones
16066791,,,,,,"isoindolo[2,1-c]benzo[1,2,4]triazine"
16080416,,,,,,miuraemide a
1609,,,,,,"3,4-dichloroisocoumarin"
16090528,,,,,,Camptothecin Derivative
16090529,,,,,,Indenoisoquinoline derivative
16111793,,,,,,hydroxy pyrazolines
16126516,,,,,,bis-arylpurine derivatives
16129666,,,,,,thiostrepton (usan)
16130072,,,,,,5-fluoro deoxy uridine 10mer
16132496,,,,,,Tyrothricin
16132633,,,,,,"mercury, (4-aminophenyl)(6-thioguanosito-n7,s6)-"
16132728,,,,,,"guanosine, 6-thio-, platinum complex (9ci)"
16133053,,,,,,"6h-purine-6-thione, 1,7-dihydro-, mercury complex (9ci)"
16134267,,,,,,tannic acid
16134278,,,,,,bradykinin antagonist
161851,,,,,,sjl 620
161924,,,,,,4-butanediyldihydroguaiaretic acid
161954,,,,,,jolkinolide b
16211009,,,,,,methyltrioctylammonium bis(trifluoromethylsulfonyl)imide
16211343,,,,,,trihexyl(tetradecyl)phosphonium tetrafluoroborate
16211448,,,,,,crude pyronine b
16212610,,,,,,trihexyl(tetradecyl)phosphonium hexafluorophosphate
16219292,,,,,,kryptocyanin
16219989,,,,,,spermidine hydrochloride
16220061,,,,,,thiactin
16220246,,,,,,arypurine derivatives
16317,,,,,,"5,6-chrysenedione"
163490,,,,,,sesbanimide
16362,,,,,,Pimozide
16394563,,,,,,artesute (usan)
16399850,,,,,,artenimol
16414,,,,,,7-ocpz
1643479,,,,,,2-(2-phenyl-4-quizolinylamino)ethyl pivalate
1652,,,,,,3-deazacytidine
16524,,,,,,pyronin b
16590,,,,,,Diallyl Disulfide
16599,,,,,,basic blue k
16667703,,,,,,Cyclocytidine hydrochloride
16680184,,,,,,"5,6-ethylenediquino[3,2-b"
16682730,,,,,,phenylmercuric acetate (usan)
16682740,,,,,,diacetoxybutyltin
16682788,,,,,,mercaptoacetate
16683022,,,,,,wln: 1vo-hg-r b1 c1 e1 f1
16683030,,,,,,wln: t5o-sn-stj b4 b4
16683126,,,,,,"4h-1,3,2-benzodioxastannin-4-one, 7-amino-2,2-dibutyl-"
16683127,,,,,,"4h-1,3,2-benzodioxastannin-4-one, 7-amino-2,2-diphenyl-"
16683226,,,,,,(2-hydroxy-2-phenylacetoxy)trimethyltin
16683462,,,,,,".beta.-d-glucopyranose, 2,3-o-(diethylstannylene)-"
16683509,,,,,,"bismuthine, (acetyloxy)diphenyl-"
16683517,,,,,,"1,3,5,2,4-trioxadistannin-6-one, 2,2,4,4-tetraethyl-"
16683647,,,,,,mp 317
16683655,,,,,,mercuryl
16683657,,,,,,"mercury, (p-dioxane-2,5-diyldimethylene)bis[(octanoyloxy)-"
16683745,,,,,,"mercury, tetrakis(acetato)(2,3,4,5-thiophenetetrayl)tetra-"
16683784,,,,,,diphenyllead diacetate
16683786,,,,,,"mercury, (acetyloxy)(pentamethylphenyl)-"
16686256,,,,,,chlorobis(4-ethyltropoloto)bismuth(iii)
16725726,,,,,GSK690693.,
16739281,,,,,,"3,3?-thiene-2,5-diylbis(5-methoxy-1h-indole)"
1674,,,,,,L-alpha-Aminobutyric Acid
16741,,,,,,Phenethyl Isothiocyate
16757841,,,,,,Cyclocytidine hydrochloride
16766044,,,,,,"4-chloro-5-phenoxy-3h-1,2-dithiole-3-thione"
16766538,,,,,,"4-chloro-5-(pyridin-2-ylthio)-3h-1,2-dithiole-3-thione"
16886,,,,,,5-Aza-2'-deoxycytidine
1691,,,,,,adriamycin-d hydrochloride
16953,,,,,,thioflavine
16955,,,,,,ethyl violet
17142,,,,,,Teroxirone
17170,,,,,,auramin
